Maria dos Santos;01234567890;19990628;3500.00;
Joao;01234567891;20180301;SOBRINHO;
Joana;01234567892;20171001;FILHO;

Raquel;01234567893;19990628;9000.00;
Bruno;01234567894;20190301;FILHO;

Maria;01234567895;19990628;9000;
Bruno;01234567896;20190301;FILHO;
Bruno;01234567897;20190301;FILHO;

Joao;01234567898;19990628;1500;
Bruno;01234567899;20190301;FILHO;
Bruno;01234567810;20190301;FILHO;

Sergio;01234567811;19990628;3300;
Bruno;01234567812;20190301;FILHO;
Bruno;01234567813;20190301;FILHO;

Ana;01234567814;19990628;4300;
Bruno;01234567816;20190301;FILHO;

Raquel;01234567817;19990628;9000;
Bruno;01234567818;20190301;FILHO;

Jorge;01234567819;19990628;1384;
Bruno;01234567820;20190301;FILHO;
Bruno;01234567821;20190301;FILHO;
Bruno;01234567822;20190301;FILHO;

Jose;01234567823;19990628;6500;
Bruno;01234567824;20190301;FILHO;
Bruno;01234567825;20190301;FILHO;

Marcos;01234567826;19990628;2630;
Bruno;01234567827;20190301;FILHO;

Marcela;01234567828;19990628;438;
Bruno;01234567829;20190301;FILHO;
Bruno;01234567830;20190301;FILHO;

Geraldo;01234567831;19990628;4300;
